country,year,sex,age,suicides_no,population,suicides/100k pop,HDI for year,overall score,government integrity,labor freedom,financial freedom, gdp_for_year ($) ,gdp_per_capita ($),generation
Australia,2006,male,15-24 years,230,1446866,15.9,0.911,79.9,88,86.5,90,"745,521,862,833",39014,Millenials
Australia,2006,male,25-34 years,277,1442942,19.2,0.911,79.9,88,86.5,90,"745,521,862,833",39014,Generation X
Australia,2006,male,35-54 years,686,2894571,23.7,0.911,79.9,88,86.5,90,"745,521,862,833",39014,Boomers
Australia,2006,male,5-14 years,7,1404186,0.5,0.911,79.9,88,86.5,90,"745,521,862,833",39014,Millenials
Australia,2006,male,55-74 years,309,1772439,17.43,0.911,79.9,88,86.5,90,"745,521,862,833",39014,Silent
Australia,2006,male,75+ years,114,506926,22.49,0.911,79.9,88,86.5,90,"745,521,862,833",39014,Silent
Austria,2006,female,15-24 years,16,499388,3.2,0.861,71.1,84,72.7,70,"335,998,557,270",42698,Millenials
Austria,2006,female,25-34 years,18,542011,3.32,0.861,71.1,84,72.7,70,"335,998,557,270",42698,Generation X
Austria,2006,female,35-54 years,91,1265873,7.19,0.861,71.1,84,72.7,70,"335,998,557,270",42698,Boomers
Austria,2006,female,5-14 years,0,441264,0,0.861,71.1,84,72.7,70,"335,998,557,270",42698,Millenials
Austria,2006,female,55-74 years,91,876832,10.38,0.861,71.1,84,72.7,70,"335,998,557,270",42698,Silent
Austria,2006,female,75+ years,81,425747,19.03,0.861,71.1,84,72.7,70,"335,998,557,270",42698,Silent
Austria,2006,male,15-24 years,77,517546,14.88,0.861,71.1,84,72.7,70,"335,998,557,270",42698,Millenials
Austria,2006,male,25-34 years,103,545467,18.88,0.861,71.1,84,72.7,70,"335,998,557,270",42698,Generation X
Austria,2006,male,35-54 years,382,1281251,29.81,0.861,71.1,84,72.7,70,"335,998,557,270",42698,Boomers
Austria,2006,male,5-14 years,1,464213,0.22,0.861,71.1,84,72.7,70,"335,998,557,270",42698,Millenials
Austria,2006,male,55-74 years,266,791509,33.61,0.861,71.1,84,72.7,70,"335,998,557,270",42698,Silent
Austria,2006,male,75+ years,171,218168,78.38,0.861,71.1,84,72.7,70,"335,998,557,270",42698,Silent
Belgium,2006,female,15-24 years,27,629311,4.29,0.896,71.8,75,68.4,70,"409,813,197,842",41135,Millenials
Belgium,2006,female,25-34 years,50,680859,7.34,0.896,71.8,75,68.4,70,"409,813,197,842",41135,Generation X
Belgium,2006,female,35-54 years,229,1532206,14.95,0.896,71.8,75,68.4,70,"409,813,197,842",41135,Boomers
Belgium,2006,female,5-14 years,3,592596,0.51,0.896,71.8,75,68.4,70,"409,813,197,842",41135,Millenials
Belgium,2006,female,55-74 years,167,1113517,15,0.896,71.8,75,68.4,70,"409,813,197,842",41135,Silent
Belgium,2006,female,75+ years,64,550950,11.62,0.896,71.8,75,68.4,70,"409,813,197,842",41135,Silent
Belgium,2006,male,15-24 years,86,645841,13.32,0.896,71.8,75,68.4,70,"409,813,197,842",41135,Millenials
Belgium,2006,male,25-34 years,217,689593,31.47,0.896,71.8,75,68.4,70,"409,813,197,842",41135,Generation X
Belgium,2006,male,35-54 years,616,1559144,39.51,0.896,71.8,75,68.4,70,"409,813,197,842",41135,Boomers
Belgium,2006,male,5-14 years,1,619058,0.16,0.896,71.8,75,68.4,70,"409,813,197,842",41135,Millenials
Belgium,2006,male,55-74 years,333,1029722,32.34,0.896,71.8,75,68.4,70,"409,813,197,842",41135,Silent
Belgium,2006,male,75+ years,142,319905,44.39,0.896,71.8,75,68.4,70,"409,813,197,842",41135,Silent
Croatia,2006,female,15-24 years,11,282298,3.9,0.793,53.6,35,44.6,70,"50,453,577,898",11914,Millenials
Croatia,2006,female,25-34 years,6,302776,1.98,0.793,53.6,35,44.6,70,"50,453,577,898",11914,Generation X
Croatia,2006,female,35-54 years,67,644066,10.4,0.793,53.6,35,44.6,70,"50,453,577,898",11914,Boomers
Croatia,2006,female,5-14 years,1,240427,0.42,0.793,53.6,35,44.6,70,"50,453,577,898",11914,Millenials
Croatia,2006,female,55-74 years,90,534005,16.85,0.793,53.6,35,44.6,70,"50,453,577,898",11914,Silent
Croatia,2006,female,75+ years,48,197868,24.26,0.793,53.6,35,44.6,70,"50,453,577,898",11914,Silent
Croatia,2006,male,15-24 years,49,293976,16.67,0.793,53.6,35,44.6,70,"50,453,577,898",11914,Millenials
Croatia,2006,male,25-34 years,58,310163,18.7,0.793,53.6,35,44.6,70,"50,453,577,898",11914,Generation X
Croatia,2006,male,35-54 years,207,639665,32.36,0.793,53.6,35,44.6,70,"50,453,577,898",11914,Boomers
Croatia,2006,male,5-14 years,2,252215,0.79,0.793,53.6,35,44.6,70,"50,453,577,898",11914,Millenials
Croatia,2006,male,55-74 years,178,440525,40.41,0.793,53.6,35,44.6,70,"50,453,577,898",11914,Silent
Croatia,2006,male,75+ years,79,96962,81.48,0.793,53.6,35,44.6,70,"50,453,577,898",11914,Silent
Cyprus,2006,female,15-24 years,0,58243,0,0.837,71.8,54,70,70,"20,403,713,461",28600,Millenials
Cyprus,2006,female,25-34 years,1,57514,1.74,0.837,71.8,54,70,70,"20,403,713,461",28600,Generation X
Cyprus,2006,female,35-54 years,3,107098,2.8,0.837,71.8,54,70,70,"20,403,713,461",28600,Boomers
Cyprus,2006,female,5-14 years,0,48947,0,0.837,71.8,54,70,70,"20,403,713,461",28600,Millenials
Cyprus,2006,female,55-74 years,3,69357,4.33,0.837,71.8,54,70,70,"20,403,713,461",28600,Silent
Cyprus,2006,female,75+ years,0,23595,0,0.837,71.8,54,70,70,"20,403,713,461",28600,Silent
Cyprus,2006,male,15-24 years,1,61353,1.63,0.837,71.8,54,70,70,"20,403,713,461",28600,Millenials
Cyprus,2006,male,25-34 years,4,53856,7.43,0.837,71.8,54,70,70,"20,403,713,461",28600,Generation X
Cyprus,2006,male,35-54 years,2,100123,2,0.837,71.8,54,70,70,"20,403,713,461",28600,Boomers
Cyprus,2006,male,5-14 years,0,51269,0,0.837,71.8,54,70,70,"20,403,713,461",28600,Millenials
Cyprus,2006,male,55-74 years,5,64866,7.71,0.837,71.8,54,70,70,"20,403,713,461",28600,Silent
Cyprus,2006,male,75+ years,0,17205,0,0.837,71.8,54,70,70,"20,403,713,461",28600,Silent
Czech Republic,2006,female,15-24 years,12,658122,1.82,0.843,66.4,42,60.3,90,"155,463,807,113",15896,Millenials
Czech Republic,2006,female,25-34 years,20,845584,2.37,0.843,66.4,42,60.3,90,"155,463,807,113",15896,Generation X
Czech Republic,2006,female,35-54 years,95,1401646,6.78,0.843,66.4,42,60.3,90,"155,463,807,113",15896,Boomers
Czech Republic,2006,female,5-14 years,0,488298,0,0.843,66.4,42,60.3,90,"155,463,807,113",15896,Millenials
Czech Republic,2006,female,55-74 years,90,1193318,7.54,0.843,66.4,42,60.3,90,"155,463,807,113",15896,Silent
Czech Republic,2006,female,75+ years,41,430258,9.53,0.843,66.4,42,60.3,90,"155,463,807,113",15896,Silent
Czech Republic,2006,male,15-24 years,101,690682,14.62,0.843,66.4,42,60.3,90,"155,463,807,113",15896,Millenials
Czech Republic,2006,male,25-34 years,155,884745,17.52,0.843,66.4,42,60.3,90,"155,463,807,113",15896,Generation X
Czech Republic,2006,male,35-54 years,459,1426930,32.17,0.843,66.4,42,60.3,90,"155,463,807,113",15896,Boomers
Czech Republic,2006,male,5-14 years,3,515573,0.58,0.843,66.4,42,60.3,90,"155,463,807,113",15896,Millenials
Czech Republic,2006,male,55-74 years,299,1022887,29.23,0.843,66.4,42,60.3,90,"155,463,807,113",15896,Silent
Czech Republic,2006,male,75+ years,125,222276,56.24,0.843,66.4,42,60.3,90,"155,463,807,113",15896,Silent
Denmark,2006,female,15-24 years,9,298500,3.02,0.905,75.3,92,86,80,"282,884,912,894",55354,Millenials
Denmark,2006,female,25-34 years,15,353444,4.24,0.905,75.3,92,86,80,"282,884,912,894",55354,Generation X
Denmark,2006,female,35-54 years,57,763418,7.47,0.905,75.3,92,86,80,"282,884,912,894",55354,Boomers
Denmark,2006,female,5-14 years,1,336170,0.3,0.905,75.3,92,86,80,"282,884,912,894",55354,Millenials
Denmark,2006,female,55-74 years,71,597984,11.87,0.905,75.3,92,86,80,"282,884,912,894",55354,Silent
Denmark,2006,female,75+ years,25,236472,10.57,0.905,75.3,92,86,80,"282,884,912,894",55354,Silent
Denmark,2006,male,15-24 years,24,312053,7.69,0.905,75.3,92,86,80,"282,884,912,894",55354,Millenials
Denmark,2006,male,25-34 years,52,355908,14.61,0.905,75.3,92,86,80,"282,884,912,894",55354,Generation X
Denmark,2006,male,35-54 years,161,782816,20.57,0.905,75.3,92,86,80,"282,884,912,894",55354,Boomers
Denmark,2006,male,5-14 years,1,353711,0.28,0.905,75.3,92,86,80,"282,884,912,894",55354,Millenials
Denmark,2006,male,55-74 years,155,575056,26.95,0.905,75.3,92,86,80,"282,884,912,894",55354,Silent
Denmark,2006,male,75+ years,79,144928,54.51,0.905,75.3,92,86,80,"282,884,912,894",55354,Silent
Estonia,2006,female,15-24 years,5,96385,5.19,0.832,77.2,69,57.2,80,"16,963,625,016",13264,Millenials
Estonia,2006,female,25-34 years,4,92765,4.31,0.832,77.2,69,57.2,80,"16,963,625,016",13264,Generation X
Estonia,2006,female,35-54 years,12,194260,6.18,0.832,77.2,69,57.2,80,"16,963,625,016",13264,Boomers
Estonia,2006,female,5-14 years,0,64825,0,0.832,77.2,69,57.2,80,"16,963,625,016",13264,Millenials
Estonia,2006,female,55-74 years,17,170020,10,0.832,77.2,69,57.2,80,"16,963,625,016",13264,Silent
Estonia,2006,female,75+ years,18,69410,25.93,0.832,77.2,69,57.2,80,"16,963,625,016",13264,Silent
Estonia,2006,male,15-24 years,26,102295,25.42,0.832,77.2,69,57.2,80,"16,963,625,016",13264,Millenials
Estonia,2006,male,25-34 years,21,96850,21.68,0.832,77.2,69,57.2,80,"16,963,625,016",13264,Generation X
Estonia,2006,male,35-54 years,73,180705,40.4,0.832,77.2,69,57.2,80,"16,963,625,016",13264,Boomers
Estonia,2006,male,5-14 years,1,68740,1.45,0.832,77.2,69,57.2,80,"16,963,625,016",13264,Millenials
Estonia,2006,male,55-74 years,56,116790,47.95,0.832,77.2,69,57.2,80,"16,963,625,016",13264,Silent
Estonia,2006,male,75+ years,14,25870,54.12,0.832,77.2,69,57.2,80,"16,963,625,016",13264,Silent
Finland,2006,female,15-24 years,19,320699,5.92,0.899,72.6,89,53.7,80,"216,552,502,823",43487,Millenials
Finland,2006,female,25-34 years,33,313759,10.52,0.899,72.6,89,53.7,80,"216,552,502,823",43487,Generation X
Finland,2006,female,35-54 years,104,736648,14.12,0.899,72.6,89,53.7,80,"216,552,502,823",43487,Boomers
Finland,2006,female,5-14 years,1,302489,0.33,0.899,72.6,89,53.7,80,"216,552,502,823",43487,Millenials
Finland,2006,female,55-74 years,78,611527,12.75,0.899,72.6,89,53.7,80,"216,552,502,823",43487,Silent
Finland,2006,female,75+ years,24,262936,9.13,0.899,72.6,89,53.7,80,"216,552,502,823",43487,Silent
Finland,2006,male,15-24 years,108,335416,32.2,0.899,72.6,89,53.7,80,"216,552,502,823",43487,Millenials
Finland,2006,male,25-34 years,113,329601,34.28,0.899,72.6,89,53.7,80,"216,552,502,823",43487,Generation X
Finland,2006,male,35-54 years,310,752178,41.21,0.899,72.6,89,53.7,80,"216,552,502,823",43487,Boomers
Finland,2006,male,5-14 years,3,315017,0.95,0.899,72.6,89,53.7,80,"216,552,502,823",43487,Millenials
Finland,2006,male,55-74 years,225,564074,39.89,0.899,72.6,89,53.7,80,"216,552,502,823",43487,Silent
Finland,2006,male,75+ years,44,135396,32.5,0.899,72.6,89,53.7,80,"216,552,502,823",43487,Silent
Germany,2006,female,15-24 years,112,4727172,2.37,0.911,74.4,79,50.6,70,"3,002,446,368,084",38088,Millenials
Germany,2006,female,25-34 years,154,4819150,3.2,0.911,74.4,79,50.6,70,"3,002,446,368,084",38088,Generation X
Germany,2006,female,35-54 years,832,12694086,6.55,0.911,74.4,79,50.6,70,"3,002,446,368,084",38088,Boomers
Germany,2006,female,5-14 years,9,3899892,0.23,0.911,74.4,79,50.6,70,"3,002,446,368,084",38088,Millenials
Germany,2006,female,55-74 years,826,9713785,8.5,0.911,74.4,79,50.6,70,"3,002,446,368,084",38088,Silent
Germany,2006,female,75+ years,611,4471494,13.66,0.911,74.4,79,50.6,70,"3,002,446,368,084",38088,Silent
Germany,2006,male,15-24 years,455,4922196,9.24,0.911,74.4,79,50.6,70,"3,002,446,368,084",38088,Millenials
Germany,2006,male,25-34 years,629,4963413,12.67,0.911,74.4,79,50.6,70,"3,002,446,368,084",38088,Generation X
Germany,2006,male,35-54 years,2653,13148811,20.18,0.911,74.4,79,50.6,70,"3,002,446,368,084",38088,Boomers
Germany,2006,male,5-14 years,20,4107557,0.49,0.911,74.4,79,50.6,70,"3,002,446,368,084",38088,Millenials
Germany,2006,male,55-74 years,2314,9032770,25.62,0.911,74.4,79,50.6,70,"3,002,446,368,084",38088,Silent
Germany,2006,male,75+ years,1160,2328668,49.81,0.911,74.4,79,50.6,70,"3,002,446,368,084",38088,Silent
Greece,2006,female,15-24 years,4,628484,0.64,0.851,53.2,43,50.2,40,"273,317,737,047",25739,Millenials
Greece,2006,female,25-34 years,12,821976,1.46,0.851,53.2,43,50.2,40,"273,317,737,047",25739,Generation X
Greece,2006,female,35-54 years,25,1601492,1.56,0.851,53.2,43,50.2,40,"273,317,737,047",25739,Boomers
Greece,2006,female,5-14 years,1,517798,0.19,0.851,53.2,43,50.2,40,"273,317,737,047",25739,Millenials
Greece,2006,female,55-74 years,17,1298840,1.31,0.851,53.2,43,50.2,40,"273,317,737,047",25739,Silent
Greece,2006,female,75+ years,9,503415,1.79,0.851,53.2,43,50.2,40,"273,317,737,047",25739,Silent
Greece,2006,male,15-24 years,21,681537,3.08,0.851,53.2,43,50.2,40,"273,317,737,047",25739,Millenials
Greece,2006,male,25-34 years,47,883789,5.32,0.851,53.2,43,50.2,40,"273,317,737,047",25739,Generation X
Greece,2006,male,35-54 years,115,1608391,7.15,0.851,53.2,43,50.2,40,"273,317,737,047",25739,Boomers
Greece,2006,male,5-14 years,0,547604,0,0.851,53.2,43,50.2,40,"273,317,737,047",25739,Millenials
Greece,2006,male,55-74 years,83,1141985,7.27,0.851,53.2,43,50.2,40,"273,317,737,047",25739,Silent
Greece,2006,male,75+ years,60,383580,15.64,0.851,53.2,43,50.2,40,"273,317,737,047",25739,Silent
Iceland,2006,female,15-24 years,0,21657,0,0.891,73.3,79,61.6,60,"17,048,647,568",60243,Millenials
Iceland,2006,female,25-34 years,1,21650,4.62,0.891,73.3,79,61.6,60,"17,048,647,568",60243,Generation X
Iceland,2006,female,35-54 years,6,40957,14.65,0.891,73.3,79,61.6,60,"17,048,647,568",60243,Boomers
Iceland,2006,female,5-14 years,0,21538,0,0.891,73.3,79,61.6,60,"17,048,647,568",60243,Millenials
Iceland,2006,female,55-74 years,3,23797,12.61,0.891,73.3,79,61.6,60,"17,048,647,568",60243,Silent
Iceland,2006,female,75+ years,0,9927,0,0.891,73.3,79,61.6,60,"17,048,647,568",60243,Silent
Iceland,2006,male,15-24 years,6,22771,26.35,0.891,73.3,79,61.6,60,"17,048,647,568",60243,Millenials
Iceland,2006,male,25-34 years,2,23135,8.64,0.891,73.3,79,61.6,60,"17,048,647,568",60243,Generation X
Iceland,2006,male,35-54 years,10,44013,22.72,0.891,73.3,79,61.6,60,"17,048,647,568",60243,Boomers
Iceland,2006,male,5-14 years,0,22494,0,0.891,73.3,79,61.6,60,"17,048,647,568",60243,Millenials
Iceland,2006,male,55-74 years,4,23812,16.8,0.891,73.3,79,61.6,60,"17,048,647,568",60243,Silent
Iceland,2006,male,75+ years,0,7248,0,0.891,73.3,79,61.6,60,"17,048,647,568",60243,Silent
Italy,2006,female,15-24 years,41,2959122,1.39,0.862,61.2,43,53,60,"1,942,633,797,516",34578,Millenials
Italy,2006,female,25-34 years,86,4103825,2.1,0.862,61.2,43,53,60,"1,942,633,797,516",34578,Generation X
Italy,2006,female,35-54 years,298,8755013,3.4,0.862,61.2,43,53,60,"1,942,633,797,516",34578,Boomers
Italy,2006,female,5-14 years,0,2692378,0,0.862,61.2,43,53,60,"1,942,633,797,516",34578,Millenials
Italy,2006,female,55-74 years,274,6982799,3.92,0.862,61.2,43,53,60,"1,942,633,797,516",34578,Silent
Italy,2006,female,75+ years,160,3483117,4.59,0.862,61.2,43,53,60,"1,942,633,797,516",34578,Silent
Italy,2006,male,15-24 years,145,3102361,4.67,0.862,61.2,43,53,60,"1,942,633,797,516",34578,Millenials
Italy,2006,male,25-34 years,344,4203703,8.18,0.862,61.2,43,53,60,"1,942,633,797,516",34578,Generation X
Italy,2006,male,35-54 years,885,8738642,10.13,0.862,61.2,43,53,60,"1,942,633,797,516",34578,Boomers
Italy,2006,male,5-14 years,4,2849710,0.14,0.862,61.2,43,53,60,"1,942,633,797,516",34578,Millenials
Italy,2006,male,55-74 years,868,6276820,13.83,0.862,61.2,43,53,60,"1,942,633,797,516",34578,Silent
Italy,2006,male,75+ years,595,2033182,29.26,0.862,61.2,43,53,60,"1,942,633,797,516",34578,Silent
Japan,2006,female,15-24 years,635,6548000,9.7,0.877,73.1,76,83.9,60,"4,530,377,224,970",37534,Millenials
Japan,2006,female,25-34 years,1133,8473000,13.37,0.877,73.1,76,83.9,60,"4,530,377,224,970",37534,Generation X
Japan,2006,female,35-54 years,2193,16320000,13.44,0.877,73.1,76,83.9,60,"4,530,377,224,970",37534,Boomers
Japan,2006,female,5-14 years,20,5767000,0.35,0.877,73.1,76,83.9,60,"4,530,377,224,970",37534,Millenials
Japan,2006,female,55-74 years,2866,17213000,16.65,0.877,73.1,76,83.9,60,"4,530,377,224,970",37534,Silent
Japan,2006,female,75+ years,1639,7608000,21.54,0.877,73.1,76,83.9,60,"4,530,377,224,970",37534,Silent
Japan,2006,male,15-24 years,1257,6916000,18.18,0.877,73.1,76,83.9,60,"4,530,377,224,970",37534,Millenials
Japan,2006,male,25-34 years,2667,8758000,30.45,0.877,73.1,76,83.9,60,"4,530,377,224,970",37534,Generation X
Japan,2006,male,35-54 years,7436,16519000,45.01,0.877,73.1,76,83.9,60,"4,530,377,224,970",37534,Boomers
Japan,2006,male,5-14 years,57,6066000,0.94,0.877,73.1,76,83.9,60,"4,530,377,224,970",37534,Millenials
Japan,2006,male,55-74 years,7921,16002000,49.5,0.877,73.1,76,83.9,60,"4,530,377,224,970",37534,Silent
Japan,2006,male,75+ years,1945,4512000,43.11,0.877,73.1,76,83.9,60,"4,530,377,224,970",37534,Silent
Kazakhstan,2006,female,15-24 years,181,1486771,12.17,0.754,63.6,29,82.7,50,"81,003,884,545",5770,Millenials
Kazakhstan,2006,female,25-34 years,121,1202659,10.06,0.754,63.6,29,82.7,50,"81,003,884,545",5770,Generation X
Kazakhstan,2006,female,35-54 years,190,2121510,8.96,0.754,63.6,29,82.7,50,"81,003,884,545",5770,Boomers
Kazakhstan,2006,female,5-14 years,24,1181324,2.03,0.754,63.6,29,82.7,50,"81,003,884,545",5770,Millenials
Kazakhstan,2006,female,55-74 years,106,1047352,10.12,0.754,63.6,29,82.7,50,"81,003,884,545",5770,Silent
Kazakhstan,2006,female,75+ years,53,282507,18.76,0.754,63.6,29,82.7,50,"81,003,884,545",5770,Silent
Kazakhstan,2006,male,15-24 years,657,1530192,42.94,0.754,63.6,29,82.7,50,"81,003,884,545",5770,Millenials
Kazakhstan,2006,male,25-34 years,944,1189058,79.39,0.754,63.6,29,82.7,50,"81,003,884,545",5770,Generation X
Kazakhstan,2006,male,35-54 years,1225,1915309,63.96,0.754,63.6,29,82.7,50,"81,003,884,545",5770,Boomers
Kazakhstan,2006,male,5-14 years,68,1234397,5.51,0.754,63.6,29,82.7,50,"81,003,884,545",5770,Millenials
Kazakhstan,2006,male,55-74 years,436,730464,59.69,0.754,63.6,29,82.7,50,"81,003,884,545",5770,Silent
Kazakhstan,2006,male,75+ years,71,116133,61.14,0.754,63.6,29,82.7,50,"81,003,884,545",5770,Silent
Kyrgyzstan,2006,female,15-24 years,34,545445,6.23,0.621,61,22,71.6,50,"2,834,168,889",610,Millenials
Kyrgyzstan,2006,female,25-34 years,13,404839,3.21,0.621,61,22,71.6,50,"2,834,168,889",610,Generation X
Kyrgyzstan,2006,female,35-54 years,22,599170,3.67,0.621,61,22,71.6,50,"2,834,168,889",610,Boomers
Kyrgyzstan,2006,female,5-14 years,5,525872,0.95,0.621,61,22,71.6,50,"2,834,168,889",610,Millenials
Kyrgyzstan,2006,female,55-74 years,16,213524,7.49,0.621,61,22,71.6,50,"2,834,168,889",610,Silent
Kyrgyzstan,2006,female,75+ years,7,69777,10.03,0.621,61,22,71.6,50,"2,834,168,889",610,Silent
Kyrgyzstan,2006,male,15-24 years,78,554568,14.07,0.621,61,22,71.6,50,"2,834,168,889",610,Millenials
Kyrgyzstan,2006,male,25-34 years,106,407653,26,0.621,61,22,71.6,50,"2,834,168,889",610,Generation X
Kyrgyzstan,2006,male,35-54 years,129,571501,22.57,0.621,61,22,71.6,50,"2,834,168,889",610,Boomers
Kyrgyzstan,2006,male,5-14 years,14,543641,2.58,0.621,61,22,71.6,50,"2,834,168,889",610,Millenials
Kyrgyzstan,2006,male,55-74 years,26,172375,15.08,0.621,61,22,71.6,50,"2,834,168,889",610,Silent
Kyrgyzstan,2006,male,75+ years,13,38110,34.11,0.621,61,22,71.6,50,"2,834,168,889",610,Silent
Latvia,2006,female,15-24 years,1,169332,0.59,0.809,66.9,40,66.6,70,"21,447,021,570",10139,Millenials
Latvia,2006,female,25-34 years,8,149998,5.33,0.809,66.9,40,66.6,70,"21,447,021,570",10139,Generation X
Latvia,2006,female,35-54 years,22,324446,6.78,0.809,66.9,40,66.6,70,"21,447,021,570",10139,Boomers
Latvia,2006,female,5-14 years,0,105387,0,0.809,66.9,40,66.6,70,"21,447,021,570",10139,Millenials
Latvia,2006,female,55-74 years,27,286922,9.41,0.809,66.9,40,66.6,70,"21,447,021,570",10139,Silent
Latvia,2006,female,75+ years,22,114051,19.29,0.809,66.9,40,66.6,70,"21,447,021,570",10139,Silent
Latvia,2006,male,15-24 years,49,176712,27.73,0.809,66.9,40,66.6,70,"21,447,021,570",10139,Millenials
Latvia,2006,male,25-34 years,61,153004,39.87,0.809,66.9,40,66.6,70,"21,447,021,570",10139,Generation X
Latvia,2006,male,35-54 years,167,294935,56.62,0.809,66.9,40,66.6,70,"21,447,021,570",10139,Boomers
Latvia,2006,male,5-14 years,0,110168,0,0.809,66.9,40,66.6,70,"21,447,021,570",10139,Millenials
Latvia,2006,male,55-74 years,102,190032,53.68,0.809,66.9,40,66.6,70,"21,447,021,570",10139,Silent
Latvia,2006,male,75+ years,28,40228,69.6,0.809,66.9,40,66.6,70,"21,447,021,570",10139,Silent
Lithuania,2006,female,15-24 years,10,236885,4.22,0.817,71.8,46,57.1,90,"30,216,060,233",9667,Millenials
Lithuania,2006,female,25-34 years,19,217069,8.75,0.817,71.8,46,57.1,90,"30,216,060,233",9667,Generation X
Lithuania,2006,female,35-54 years,70,488597,14.33,0.817,71.8,46,57.1,90,"30,216,060,233",9667,Boomers
Lithuania,2006,female,5-14 years,1,189257,0.53,0.817,71.8,46,57.1,90,"30,216,060,233",9667,Millenials
Lithuania,2006,female,55-74 years,59,390589,15.11,0.817,71.8,46,57.1,90,"30,216,060,233",9667,Silent
Lithuania,2006,female,75+ years,37,159540,23.19,0.817,71.8,46,57.1,90,"30,216,060,233",9667,Silent
Lithuania,2006,male,15-24 years,97,244528,39.67,0.817,71.8,46,57.1,90,"30,216,060,233",9667,Millenials
Lithuania,2006,male,25-34 years,96,214726,44.71,0.817,71.8,46,57.1,90,"30,216,060,233",9667,Generation X
Lithuania,2006,male,35-54 years,366,450132,81.31,0.817,71.8,46,57.1,90,"30,216,060,233",9667,Boomers
Lithuania,2006,male,5-14 years,5,199438,2.51,0.817,71.8,46,57.1,90,"30,216,060,233",9667,Millenials
Lithuania,2006,male,55-74 years,238,269578,88.29,0.817,71.8,46,57.1,90,"30,216,060,233",9667,Silent
Lithuania,2006,male,75+ years,51,65428,77.95,0.817,71.8,46,57.1,90,"30,216,060,233",9667,Silent
Luxembourg,2006,female,15-24 years,0,27217,0,0.881,75.3,84,51.4,90,"42,414,308,117",95351,Millenials
Luxembourg,2006,female,25-34 years,1,33421,2.99,0.881,75.3,84,51.4,90,"42,414,308,117",95351,Generation X
Luxembourg,2006,female,35-54 years,12,72885,16.46,0.881,75.3,84,51.4,90,"42,414,308,117",95351,Boomers
Luxembourg,2006,female,5-14 years,0,28857,0,0.881,75.3,84,51.4,90,"42,414,308,117",95351,Millenials
Luxembourg,2006,female,55-74 years,4,43289,9.24,0.881,75.3,84,51.4,90,"42,414,308,117",95351,Silent
Luxembourg,2006,female,75+ years,1,19651,5.09,0.881,75.3,84,51.4,90,"42,414,308,117",95351,Silent
Luxembourg,2006,male,15-24 years,4,28509,14.03,0.881,75.3,84,51.4,90,"42,414,308,117",95351,Millenials
Luxembourg,2006,male,25-34 years,3,33484,8.96,0.881,75.3,84,51.4,90,"42,414,308,117",95351,Generation X
Luxembourg,2006,male,35-54 years,22,75006,29.33,0.881,75.3,84,51.4,90,"42,414,308,117",95351,Boomers
Luxembourg,2006,male,5-14 years,0,30210,0,0.881,75.3,84,51.4,90,"42,414,308,117",95351,Millenials
Luxembourg,2006,male,55-74 years,10,41414,24.15,0.881,75.3,84,51.4,90,"42,414,308,117",95351,Silent
